#Feeder,Feeder ID,Skip,Pos X,Pos Y,Angle,Footprint,Comment,Nozzle,Pick Height,Pick Delay,Move Speed,Place Height,Place Delay,Place Speed,Accuracy,Width,Length,Thickness,Size Analyze,Tray X,Tray Y,Columns,Rows,Right Top X,Right Top Y,Vision Model,Brightness,Vision Error,Vision Flash,Feeder Type,NoisyPoint
Comp,10,0.1uF,0201_C,C7,1,24.892,26.619,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,11,4.7uF,0402_C,C4,2,25.806,17.323,-90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,12,1K,0402_R,R4,3,20.269,3.632,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,10,0.1uF,0201_C,C6,4,24.892,24.562,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,11,4.7uF,0402_C,C1,5,12.09,5.309,90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,6,22uF,0805_C,C23,6,6.375,61.646,180,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,10,0.1uF,0201_C,C12,1,3.988,34.976,180,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,11,4.7uF,0402_C,C15,2,9.169,43.84,90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,12,1K,0402_R,R3,3,17.653,3.632,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,10,0.1uF,0201_C,C14,4,3.988,36.627,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,11,4.7uF,0402_C,C18,5,11.608,46.66,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,6,22uF,0805_C,C25,6,6.375,63.551,180,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,10,0.1uF,0201_C,C9,1,4.14,32.182,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,10,0.1uF,0201_C,C11,2,4.14,32.969,180,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,10,0.1uF,0201_C,C8,3,4.216,27,180,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,10,0.1uF,0201_C,C5,4,4.089,23.393,90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,10,0.1uF,0201_C,C13,5,24.816,36.195,180,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,14,24AA025E48,SOT23-6,U1,6,3.229,2.616,90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,26,10pF,0402_C,C24,1,2.896,63.017,-90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,27,1uF,0402_C,C20,2,1.778,54.483,90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,28,22nF,0402_C,C16,3,14.427,44.526,-90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,29,100,0402_R,R9,4,7.214,41.961,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,30,10K,0402_R,R12,5,3.937,52.629,-90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,31,10uF,0805_C,C17,6,3.505,45.822,90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,24,EP53A8LQI,EP53A8,U7,7,6.452,44.526,-90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,44,348K,0402_R,R15,1,1.956,63.017,-90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,45,412K,0402_R,R14,2,2.413,61.468,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,46,5.62K,0402_R,R13,3,1.854,59.766,-90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,47,0ohm,OPT_RES_0402,OP1,4,4.953,66.04,180,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,49,RT9193-25GB,SOT23-5,U6,6,12.065,43.891,180,NO,Align,,,,,,,,,,,,,,,,,,,,,
